loop_cnt,region,inherit,reward,outcome,h,g,f
60,0,3,0.1,2,43,8,51
61,1,9,0.1,2,33,18,51
62,2,5,0,0,24,28,52
63,3,6,0.1,2,17,37,54
64,4,1,0.1,2,9,46,55
68,5,0,0.1,2,4,53,57
69,0,4,0.1,2,42,9,51
70,1,6,0.1,2,32,19,51
71,3,5,0.1,2,17,37,54
72,4,1,0.1,2,8,47,55
74,5,0,0.1,2,4,53,57
75,2,6,0.1,2,24,28,52
76,0,2,0.1,2,41,10,51
77,1,5,0.1,2,32,19,51
78,3,7,0.1,2,16,38,54
79,4,1,0.1,2,8,47,55
81,5,0,0.1,2,4,53,57
82,2,6,0.1,2,24,28,52
83,0,5,0.1,2,40,11,51
84,1,5,0.1,2,31,20,51
85,3,6,0.1,2,15,39,54
86,4,1,0.1,2,7,48,55
89,5,0,0.1,2,4,53,57
90,2,9,0.1,2,25,29,54
91,0,4,0.1,2,41,10,51
92,1,8,0.1,2,30,21,51
93,3,6,0.1,2,15,39,54
94,4,1,0.1,2,7,48,55
96,5,0,0.1,2,4,53,57
97,2,8,0.1,2,24,30,54
98,0,4,0.1,2,41,10,51
99,1,8,0.1,2,29,22,51
100,3,5,0.1,2,14,40,54
101,4,1,0.1,2,7,48,55
102,5,0,0.1,2,4,53,57
103,2,7,0.1,2,24,30,54
104,0,3,0.1,2,41,10,51
105,1,7,0.1,2,29,22,51
106,3,4,0.1,2,13,41,54
107,4,2,0.1,2,6,49,55
108,5,0,0,0,4,53,57
109,2,7,0.1,2,24,30,54
110,0,4,0.1,2,39,12,51
111,1,7,0.1,2,28,23,51
112,3,4,0.1,2,13,41,54
113,4,3,0.1,2,6,49,55
114,2,10,0.1,2,23,31,54
116,5,0,0.1,2,4,53,57
117,0,7,0.1,2,42,11,53
118,1,7,0.1,2,27,24,51
119,3,4,0.1,2,13,41,54
120,4,3,0.1,2,6,49,55
121,2,7,0.1,2,24,31,55
122,5,0,0.1,2,4,53,57
123,0,4,0.1,2,39,12,51
124,1,5,0.1,2,28,23,51
125,3,2,0.1,2,12,42,54
126,4,2,0.1,2,6,49,55
127,2,8,0.1,2,23,31,54
128,5,0,0,0,4,53,57
129,0,2,0.1,2,40,13,53
130,1,7,0.1,2,26,25,51
131,3,3,0.1,2,13,41,54
132,4,3,0.1,2,6,50,56
133,2,7,0.1,2,23,32,55
135,5,0,0.1,2,4,53,57
136,0,3,0.1,2,38,13,51
137,1,7,0.1,2,26,25,51
138,3,2,0.1,2,12,42,54
139,4,1,0.1,2,6,50,56
140,2,11,0.1,2,23,32,55
143,5,0,0.1,2,4,53,57
144,0,4,0.1,2,38,13,51
145,1,6,0.1,2,25,26,51
146,3,2,0.1,2,12,43,55
147,4,1,0.1,2,6,51,57
148,2,9,0.1,2,22,33,55
149,5,0,0.1,2,4,53,57
150,0,4,0.1,2,37,14,51
151,1,6,0.1,2,24,27,51
152,3,4,0.1,2,12,42,54
153,4,2,0.1,2,5,52,57
154,2,7,0.1,2,22,34,56
155,5,0,0.1,2,4,53,57
156,0,3,0.1,2,38,13,51
157,1,6,0.1,2,23,28,51
158,3,4,0.1,2,13,41,54
159,4,2,0.1,2,5,52,57
160,2,3,0.1,2,22,35,57
161,5,0,0,0,4,53,57
162,0,3,0.1,2,38,13,51
163,1,4,0.1,2,25,26,51
164,3,1,0.1,2,13,43,56
166,4,1,0.1,2,4,53,57
167,2,3,0.1,2,21,36,57
169,5,0,0.1,2,4,53,57
170,0,6,0.1,2,38,14,52
171,1,6,0.1,2,24,27,51
172,3,5,0.1,2,12,43,55
174,4,0,0.1,2,4,53,57
175,2,3,0.1,2,20,37,57
178,5,0,0,0,4,53,57
179,0,7,0.1,2,36,15,51
180,1,6,0.1,2,22,29,51
181,3,4,0.1,2,12,42,54
182,4,1,0.1,2,4,53,57
183,2,3,0.1,2,20,37,57
184,0,4,0.1,2,37,14,51
185,1,4,0.1,2,25,26,51
186,3,4,0.1,2,12,43,55
187,4,2,0.1,2,5,52,57
188,5,0,0.1,2,4,53,57
189,2,4,0.1,2,22,34,56
190,0,7,0.1,2,35,16,51
191,1,6,0.1,2,24,27,51
192,3,2,0.1,2,12,44,56
193,4,0,0.1,2,4,53,57
195,5,0,0.1,2,4,53,57
196,2,1,0.1,2,19,38,57
197,0,7,0.1,2,34,17,51
198,1,6,0.1,2,25,27,52
199,3,4,0.1,2,12,42,54
200,4,1,0.1,2,4,53,57
201,5,1,0.1,2,4,53,57
202,2,3,0.1,2,21,36,57
203,0,7,0.1,2,34,17,51
204,1,7,0.1,2,23,28,51
205,3,4,0.1,2,12,43,55
209,4,0,0.1,2,4,53,57
211,5,0,0.1,2,4,53,57
212,2,1,0.1,2,19,38,57
213,0,8,0.1,2,34,17,51
214,1,5,0,0,22,29,51
215,3,2,0.1,2,13,44,57
217,4,1,0.1,2,6,50,56
219,5,0,0.1,2,4,53,57
220,2,2,0.1,2,18,39,57
221,0,7,0.1,2,35,16,51
222,3,4,0.1,2,12,42,54
223,4,2,0.1,2,6,51,57
225,5,1,0.1,2,4,53,57
226,1,7,0.1,2,24,27,51
227,2,2,0.1,2,18,39,57
228,0,8,0.1,2,33,18,51
229,3,4,0.1,2,12,42,54
230,4,1,0.1,2,4,53,57
232,5,1,0.1,2,4,53,57
233,1,6,0.1,2,23,28,51
234,2,2,0.1,2,18,39,57
235,0,8,0.1,2,32,19,51
236,3,2,0.1,2,12,42,54
237,4,2,0.1,2,6,49,55
240,5,0,0.1,2,4,53,57
241,1,6,0.1,2,23,28,51
242,2,3,0.1,2,20,37,57
243,0,7,0.1,2,35,18,53
244,3,2,0.1,2,11,43,54
246,4,2,0.1,2,6,50,56
247,5,0,0.1,2,4,53,57
248,1,7,0.1,2,22,29,51
250,2,1,0.1,2,17,40,57
251,0,10,0.1,2,31,20,51
252,3,3,0.1,2,11,43,54
253,4,1,0.1,2,4,53,57
254,5,0,0.1,2,4,53,57
255,1,5,0.1,2,22,30,52
256,2,2,0.1,2,18,39,57
257,0,6,0.1,2,35,17,52
258,3,3,0.1,2,12,43,55
259,4,1,0.1,2,4,53,57
260,1,5,0.1,2,22,29,51
261,2,2,0.1,2,19,38,57
264,5,0,0.1,2,4,53,57
265,0,9,0.1,2,30,21,51
266,3,4,0.1,2,12,43,55
268,4,0,0,0,4,53,57
269,1,6,0.1,2,22,29,51
270,2,2,0.1,2,18,39,57
271,5,1,0.1,2,5,52,57
272,0,7,0.1,2,29,22,51
273,3,1,0.1,2,12,44,56
274,1,7,0.1,2,22,30,52
275,2,1,0.1,2,17,40,57
277,4,0,0.1,2,4,53,57
278,5,0,0,0,4,53,57
279,0,6,0.1,2,28,23,51
280,3,2,0.1,2,12,45,57
281,1,5,0.1,2,23,30,53
282,2,1,0.1,2,17,40,57
283,4,0,0.1,2,4,53,57
284,5,0,0.1,2,4,53,57
285,0,9,0.1,2,32,19,51
286,3,2,0.1,2,11,43,54
287,1,4,0.1,2,22,30,52
288,2,1,0.1,2,17,40,57
289,4,1,0.1,2,5,52,57
290,5,0,0,0,4,53,57
291,0,7,0.1,2,27,24,51
292,3,2,0.1,2,11,44,55
293,1,4,0.1,2,22,31,53
294,2,2,0.1,2,18,39,57
295,4,0,0.1,2,4,53,57
296,0,9,0.1,2,34,19,53
297,3,2,0.1,2,11,43,54
298,5,2,0,0,4,53,57
299,1,6,0,0,22,29,51
300,2,1,0.1,2,16,41,57
302,4,0,0,0,4,53,57
303,0,8,0.1,2,32,19,51
304,3,5,0.1,2,12,43,55
305,2,1,0.1,2,17,40,57
306,5,0,0.1,2,4,53,57
307,1,2,0.1,2,22,31,53
309,4,0,0.1,2,4,53,57
310,0,5,0.1,2,29,22,51
311,3,4,0.1,2,11,46,57
313,2,4,0.1,2,16,41,57
314,5,1,0,0,4,53,57
315,1,6,0.1,2,22,29,51
316,4,1,0.1,2,6,50,56
317,0,4,0.1,2,28,23,51
318,3,3,0.1,2,11,43,54
319,2,4,0.1,2,16,41,57
320,1,6,0.1,2,21,31,52
321,4,2,0.1,2,5,52,57
322,0,7,0.1,2,35,16,51
323,3,2,0.1,2,11,45,56
324,5,0,0.1,2,4,53,57
325,2,1,0.1,2,17,40,57
326,1,3,0.1,2,22,31,53
327,4,2,0.1,2,5,52,57
328,0,9,0.1,2,30,21,51
329,3,2,0.1,2,11,43,54
330,5,2,0.1,2,4,53,57
