loop_cnt,region,inherit,reward,outcome,h,g,f
153,0,3,0.1,2,122,24,146
154,1,4,0.1,2,97,49,146
168,2,2,0.1,2,89,61,150
245,0,2,0.1,2,121,25,146
246,1,4,0.1,2,104,42,146
247,2,2,0.1,2,89,60,149
248,0,3,0.1,2,124,22,146
249,1,5,0.1,2,98,50,148
250,2,2,0.1,2,89,61,150
251,0,3,0.1,2,120,26,146
252,1,4,0.1,2,102,44,146
254,2,2,0,0,89,60,149
255,0,6,0.1,2,119,27,146
256,1,5,0.1,2,97,49,146
258,2,0,0.1,2,90,59,149
259,0,6,0.1,2,119,27,146
260,1,5,0.1,2,99,47,146
261,2,4,0,0,89,61,150
262,0,7,0.1,2,118,28,146
263,1,4,0.1,2,97,49,146
264,2,3,0.1,2,89,61,150
265,0,7,0.1,2,118,28,146
266,1,4,0.1,2,97,49,146
267,2,2,0.1,2,89,60,149
268,0,5,0.1,2,117,29,146
269,1,3,0.1,2,100,48,148
270,2,4,0.1,2,89,61,150
271,0,8,0.1,2,118,28,146
272,1,4,0.1,2,98,50,148
273,2,4,0.1,2,89,60,149
274,0,6,0.1,2,119,27,146
275,1,5,0.1,2,97,50,147
276,2,2,0.1,2,89,60,149
277,0,5,0.1,2,117,29,146
278,1,4,0.1,2,97,50,147
280,2,1,0.1,2,89,60,149
281,0,6,0.1,2,116,30,146
282,1,5,0.1,2,96,50,146
284,2,2,0.1,2,89,60,149
285,0,3,0.1,2,122,24,146
286,1,5,0.1,2,97,51,148
287,2,3,0.1,2,89,60,149
288,0,7,0.1,2,116,30,146
289,1,6,0.1,2,97,51,148
290,2,2,0.1,2,89,61,150
291,0,7,0.1,2,116,30,146
292,1,6,0.1,2,96,51,147
293,2,2,0,0,89,60,149
294,0,8,0.1,2,115,31,146
295,1,5,0.1,2,97,49,146
296,2,3,0,0,89,60,149
297,0,9,0.1,2,114,32,146
298,1,5,0.1,2,96,52,148
299,0,9,0.1,2,114,32,146
300,1,5,0.1,2,97,49,146
301,2,4,0.1,2,89,61,150
302,0,6,0.1,2,116,30,146
303,1,5,0.1,2,96,52,148
307,2,3,0.1,2,89,61,150
308,0,9,0.1,2,114,32,146
309,1,4,0.1,2,96,52,148
310,2,0,0,0,90,59,149
311,0,9,0.1,2,114,32,146
312,1,5,0.1,2,97,49,146
313,2,2,0.1,2,89,61,150
314,0,9,0.1,2,114,32,146
315,1,5,0.05,1,96,52,148
316,2,1,0,0,89,60,149
317,0,9,0.1,2,117,31,148
318,1,5,0.1,2,98,50,148
319,0,6,0.1,2,114,33,147
321,2,4,0,0,89,60,149
322,1,4,0.1,2,96,52,148
323,0,8,0.1,2,115,31,146
324,1,4,0.1,2,96,50,146
325,2,5,0.1,2,89,61,150
326,0,7,0.1,2,115,31,146
327,1,4,0.1,2,97,49,146
329,2,3,0,0,89,61,150
330,0,6,0.1,2,114,33,147
331,1,5,0.1,2,95,53,148
333,2,2,0.1,2,89,60,149
334,0,6,0.1,2,116,30,146
335,1,6,0.1,2,96,51,147
336,2,1,0.1,2,89,61,150
337,0,8,0.1,2,114,32,146
338,1,5,0.1,2,96,51,147
339,0,8,0.1,2,113,33,146
341,2,2,0.1,2,89,60,149
342,1,5,0.1,2,96,53,149
343,0,7,0.1,2,113,33,146
344,2,4,0.1,2,89,61,150
345,1,5,0.1,2,95,53,148
346,0,6,0.1,2,114,32,146
347,2,3,0.1,2,89,60,149
348,1,3,0.1,2,96,52,148
349,0,5,0.1,2,113,33,146
350,2,3,0.1,2,89,61,150
351,1,5,0.1,2,96,51,147
352,0,6,0.1,2,112,34,146
353,2,0,0.1,2,90,59,149
354,1,4,0.1,2,94,54,148
355,0,6,0.1,2,114,33,147
356,2,1,0.1,2,89,61,150
357,1,4,0.1,2,96,52,148
358,0,4,0.1,2,112,34,146
359,1,3,0.1,2,96,52,148
360,2,3,0.1,2,89,60,149
361,0,5,0.1,2,114,34,148
362,1,4,0.1,2,93,55,148
363,2,3,0.1,2,89,61,150
364,0,8,0.1,2,113,33,146
365,1,5,0.1,2,95,53,148
367,2,2,0,0,89,61,150
368,0,4,0.1,2,112,34,146
369,1,6,0.1,2,92,56,148
370,2,5,0.1,2,89,61,150
371,0,7,0.1,2,114,32,146
372,1,5,0.1,2,95,53,148
374,2,3,0,0,89,61,150
375,0,5,0.1,2,112,34,146
376,1,3,0.1,2,96,53,149
377,0,6,0.1,2,111,35,146
378,1,4,0.1,2,94,54,148
379,2,3,0.1,2,89,61,150
380,0,7,0.1,2,113,35,148
381,1,4,0.1,2,95,53,148
382,2,3,0.1,2,89,60,149
383,0,6,0.1,2,111,35,146
384,1,6,0.1,2,95,54,149
385,2,1,0.1,2,89,61,150
386,0,4,0.1,2,110,36,146
387,1,6,0.1,2,94,54,148
388,2,3,0.1,2,89,60,149
389,0,6,0.1,2,112,34,146
390,1,4,0.1,2,93,55,148
391,2,3,0.1,2,89,60,149
392,0,7,0.1,2,112,35,147
393,1,6,0.1,2,94,54,148
395,2,4,0.1,2,89,61,150
396,0,5,0.1,2,109,37,146
397,1,2,0.1,2,96,53,149
398,2,3,0.1,2,89,61,150
399,0,5,0.1,2,111,35,146
400,1,6,0.1,2,95,54,149
401,2,3,0,0,89,61,150
402,0,4,0.1,2,108,38,146
403,1,4,0.1,2,94,54,148
404,0,4,0.1,2,107,39,146
405,2,1,0,0,89,61,150
406,1,4,0.1,2,96,53,149
407,0,7,0.1,2,116,30,146
408,1,4,0.1,2,93,55,148
409,2,3,0.1,2,89,61,150
410,0,7,0.1,2,113,33,146
411,1,4,0.1,2,92,56,148
412,2,1,0.1,2,89,61,150
413,0,5,0.1,2,109,37,146
414,1,5,0.1,2,92,57,149
416,2,1,0.1,2,89,61,150
417,0,7,0.1,2,112,34,146
418,1,6,0.1,2,94,54,148
419,2,3,0.1,2,89,61,150
420,0,6,0.1,2,112,36,148
421,1,4,0.1,2,94,55,149
422,2,1,0,0,89,61,150
423,0,5,0.1,2,109,37,146
424,1,6,0.1,2,95,54,149
425,0,5,0.1,2,110,36,146
426,1,6,0.1,2,92,57,149
427,2,1,0.1,2,89,61,150
428,0,5,0.1,2,109,37,146
429,1,6,0.1,2,94,55,149
430,2,1,0.1,2,89,61,150
431,0,5,0.1,2,108,38,146
432,1,4,0.1,2,94,54,148
433,2,3,0.1,2,89,61,150
434,0,8,0.1,2,112,34,146
435,1,6,0.1,2,94,55,149
436,2,1,0,0,89,61,150
437,0,3,0.1,2,106,40,146
438,1,4,0,0,92,56,148
439,0,6,0.1,2,110,36,146
440,2,5,0,0,89,61,150
441,1,5,0.1,2,93,56,149
442,0,3,0.1,2,106,40,146
443,2,4,0,0,89,61,150
444,1,8,0.1,2,93,56,149
445,0,6,0.1,2,109,37,146
446,1,6,0.1,2,92,58,150
447,0,6,0.1,2,107,39,146
448,2,3,0.1,2,89,61,150
449,1,4,0.1,2,91,59,150
450,0,2,0.1,2,107,41,148
452,2,4,0,0,89,61,150
453,1,5,0.1,2,93,56,149
454,0,4,0.1,2,107,39,146
455,1,4,0.1,2,93,56,149
457,2,2,0,0,89,61,150
458,0,5,0.1,2,108,38,146
459,1,6,0.1,2,93,57,150
460,0,6,0.1,2,109,37,146
461,2,3,0.1,2,89,61,150
462,1,6,0.1,2,93,57,150
463,0,2,0.05,1,107,41,148
465,2,2,0.1,2,89,61,150
466,1,7,0.1,2,92,58,150
467,0,5,0.1,2,106,40,146
469,2,1,0.1,2,89,61,150
470,1,4,0.1,2,92,58,150
471,0,5,0.1,2,106,40,146
473,1,4,0.1,2,93,56,149
474,2,1,0.1,2,89,61,150
475,0,7,0.1,2,115,34,149
476,1,3,0.1,2,91,59,150
477,2,3,0.1,2,89,61,150
478,0,4,0.1,2,107,39,146
479,1,6,0.1,2,93,57,150
481,2,3,0,0,89,61,150
482,0,5,0.1,2,108,38,146
483,1,5,0.1,2,93,56,149
484,0,4,0.1,2,107,39,146
485,2,3,0.1,2,89,61,150
486,1,4,0.1,2,92,57,149
487,0,9,0.1,2,111,35,146
489,2,4,0,0,89,61,150
490,1,8,0.1,2,92,58,150
491,0,4,0.1,2,106,40,146
494,1,4,0.1,2,92,57,149
495,0,8,0.1,2,112,34,146
496,2,1,0.1,2,89,61,150
497,1,5,0.1,2,92,58,150
498,0,3,0.1,2,105,41,146
499,2,3,0.1,2,89,61,150
500,1,5,0.1,2,91,59,150
501,0,4,0.1,2,107,39,146
504,2,1,0.1,2,89,61,150
505,1,5,0.1,2,92,58,150
506,0,5,0.1,2,104,42,146
507,2,1,0.1,2,89,61,150
508,1,3,0.1,2,91,59,150
509,0,3,0.1,2,106,40,146
510,2,2,0.1,2,89,61,150
511,1,4,0,0,92,58,150
512,0,8,0.1,2,103,43,146
513,2,3,0.1,2,89,61,150
514,0,3,0.1,2,106,40,146
516,1,6,0.1,2,93,56,149
518,2,3,0.1,2,89,61,150
519,0,2,0.1,2,105,41,146
520,1,4,0.1,2,92,57,149
522,2,1,0.1,2,89,61,150
523,0,3,0.1,2,105,41,146
524,1,3,0,0,91,59,150
525,2,1,0.1,2,89,61,150
526,0,5,0.1,2,104,42,146
529,2,2,0.1,2,89,61,150
530,1,3,0.1,2,93,55,148
531,0,5,0.1,2,109,37,146
532,2,1,0.1,2,89,61,150
533,1,4,0.1,2,92,57,149
534,0,4,0.1,2,105,41,146
535,2,3,0.1,2,89,61,150
536,1,4,0,0,92,57,149
537,0,5,0.1,2,106,42,148
538,2,2,0.1,2,89,61,150
539,0,3,0.1,2,106,40,146
540,1,4,0,0,92,57,149
543,2,2,0.1,2,89,61,150
544,0,4,0.1,2,105,41,146
545,2,3,0.1,2,89,61,150
546,1,4,0.1,2,91,59,150
547,0,3,0.1,2,105,41,146
548,2,1,0.1,2,89,61,150
549,1,4,0.1,2,92,58,150
550,0,2,0.1,2,107,41,148
551,2,2,0.1,2,89,60,149
553,1,3,0.1,2,91,59,150
554,0,4,0.1,2,105,41,146
555,2,1,0,0,89,61,150
559,1,4,0.1,2,92,56,148
560,0,5,0.1,2,109,38,147
561,1,5,0.1,2,93,57,150
562,0,3,0.1,2,107,40,147
563,2,1,0.1,2,89,61,150
564,0,8,0.1,2,103,43,146
565,1,4,0,0,93,56,149
566,2,2,0.1,2,89,60,149
567,0,5,0.1,2,108,38,146
569,1,4,0.1,2,93,56,149
571,2,2,0.1,2,89,61,150
572,0,6,0.1,2,104,44,148
573,1,3,0.1,2,96,52,148
577,2,3,0.1,2,89,61,150
578,0,6,0.1,2,102,44,146
579,1,5,0.1,2,93,55,148
580,2,1,0.1,2,89,61,150
581,0,4,0.1,2,110,38,148
582,1,5,0.1,2,94,55,149
585,2,2,0.1,2,89,61,150
586,0,6,0.1,2,107,39,146
587,1,3,0.1,2,91,59,150
588,2,2,0.1,2,89,61,150
589,0,4,0.1,2,106,42,148
590,1,4,0.1,2,92,57,149
592,2,1,0.1,2,89,61,150
593,0,4,0.1,2,105,41,146
594,1,6,0.1,2,92,56,148
595,0,7,0.1,2,104,43,147
596,2,1,0.1,2,89,61,150
597,1,4,0.1,2,92,58,150
598,0,4,0.1,2,106,40,146
599,2,3,0.1,2,89,61,150
600,1,3,0.1,2,91,59,150
601,0,4,0.1,2,105,41,146
602,2,3,0.1,2,89,61,150
603,1,4,0.1,2,93,55,148
604,0,4,0.1,2,104,42,146
605,2,3,0.1,2,89,61,150
606,1,7,0.1,2,92,58,150
607,0,4,0.1,2,104,42,146
608,2,3,0.1,2,89,61,150
609,1,5,0,0,92,58,150
610,0,6,0.1,2,102,44,146
612,2,3,0.1,2,89,61,150
613,0,4,0.1,2,105,42,147
614,2,3,0.1,2,89,61,150
615,1,3,0.1,2,91,59,150
616,0,5,0.1,2,104,42,146
617,2,3,0.1,2,89,60,149
618,1,3,0.1,2,93,55,148
619,0,3,0.1,2,105,41,146
620,2,4,0.1,2,89,61,150
621,1,4,0.1,2,92,56,148
622,0,7,0.1,2,104,43,147
623,2,5,0.1,2,89,61,150
624,1,4,0.1,2,92,57,149
625,0,5,0.1,2,103,43,146
626,1,3,0.1,2,92,57,149
628,2,2,0.1,2,89,60,149
629,0,3,0.1,2,104,42,146
630,1,4,0,0,91,59,150
631,2,2,0.1,2,89,60,149
632,0,5,0.1,2,104,42,146
634,2,1,0,0,89,61,150
635,0,4,0.1,2,105,41,146
636,1,5,0.1,2,94,55,149
637,0,5,0.1,2,104,42,146
638,1,5,0.1,2,93,57,150
639,2,1,0.1,2,89,61,150
640,0,5,0.1,2,103,43,146
641,1,5,0.1,2,92,56,148
642,2,1,0.1,2,89,61,150
643,0,8,0.1,2,103,43,146
644,1,3,0,0,92,56,148
646,2,1,0.1,2,89,61,150
647,0,4,0.1,2,102,44,146
650,2,3,0.1,2,89,61,150
651,1,3,0.1,2,92,57,149
652,0,1,0.1,2,101,45,146
653,2,3,0.1,2,89,60,149
656,1,5,0.1,2,92,58,150
657,0,6,0.1,2,102,44,146
658,2,3,0.1,2,89,60,149
659,0,7,0.1,2,105,43,148
660,1,6,0.1,2,92,58,150
661,2,2,0.1,2,89,61,150
662,0,1,0.1,2,101,45,146
664,1,4,0.1,2,91,59,150
665,2,2,0.1,2,89,61,150
666,0,4,0.1,2,103,45,148
667,1,4,0.1,2,91,59,150
668,2,5,0.1,2,89,61,150
669,0,3,0.1,2,101,45,146
671,1,3,0.1,2,92,58,150
672,2,3,0.1,2,89,61,150
673,0,4,0.1,2,104,42,146
674,1,5,0.1,2,92,58,150
677,2,3,0.1,2,89,61,150
678,0,3,0.1,2,102,46,148
680,1,3,0,0,93,56,149
681,2,1,0.1,2,89,61,150
682,0,2,0.1,2,104,44,148
683,1,5,0.1,2,92,56,148
685,2,1,0.1,2,89,61,150
686,0,5,0.1,2,103,44,147
687,1,4,0.1,2,92,56,148
688,0,3,0.1,2,102,46,148
690,2,1,0.1,2,89,61,150
691,1,4,0.1,2,92,58,150
692,0,3,0.1,2,105,41,146
695,2,2,0,0,89,61,150
697,1,3,0.1,2,92,56,148
698,0,4,0.1,2,102,44,146
699,2,1,0.1,2,89,61,150
700,1,4,0,0,92,58,150
